year,age,name,movie
1928,44,Emil Jannings,The Last Command
1928,22,Janet Gaynor,Seventh Heaven
1929,41,Warner Baxter,In Old Arizona
1929,37,Mary Pickford,Coquette
1930,62,George Arliss,Disraeli
1930,28,Norma Shearer,"The Divorcee	"
1931,53,Lionel Barrymore,A Free Soul
1931,63,Marie Dressler,Min and Bill
1932,47,Wallace Beery,The Champ
1932,32,Helen Hayes,"The Sin of Madelon Claudet	"
1933,35,Fredric March,Dr. Jekyll and Mr. Hyde
1933,26,Katharine Hepburn,Morning Glory
1934,34,Charles Laughton,The Private Life of Henry VIII
1934,31,Claudette Colbert,It Happened One Night
1935,34,Clark Gable,It Happened One Night
1935,27,Bette Davis,Dangerous
1936,49,Victor McLaglen,"The Informer	"
1936,27,Luise Rainer,The Great Ziegfeld
1937,41,Paul Muni,"The Story of Louis Pasteur	"
1937,28,Luise Rainer,The Good Earth
1938,37,Spencer Tracy,Captains Courageous
1938,30,Bette Davis,Jezebel
1939,38,Spencer Tracy,Boys Town
1939,26,Vivien Leigh,Gone with the Wind
1940,34,Robert Donat,Goodbye Mt. Chips
1940,29,Ginger Rogers,Kitty Foyle
1941,32,James Stewart,The Philadelphia Story
1941,24,Joan Fontaine,"Suspicion	"
1942,40,Gary Cooper,Sergeant York
1942,38,Greer Garson,Mrs. Miniver
1943,43,James Cagney,"Yankee Doodle Dandy	"
1943,25,Jennifer Jones,The Song of Bernadette
1944,48,Paul Lukas,"Watch on the Rhine	"
1944,29,Ingrid Bergman,Gaslight
1945,41,Bing Crosby,Going My Way
1945,40,Joan Crawford,Mildred Pierce
1946,39,Ray Milland,"The Lost Weekend 	"
1946,30,Olivia de Havilland,To Each His Own
1947,49,Fredric March,The Best Years of Our Lives
1947,35,Loretta Young,The Farmer's Daughter
1948,57,Ronald Colman,A Double Life
1948,32,Jane Wyman,Johnny Belinda
1949,41,Laurence Olivier,Hamlet
1949,33,Olivia de Havilland,The Heiress
1950,38,Broderick Crawford,All the King's Men
1950,29,Judy Holliday,Born Yesterday
1951,39,José Ferrer,Cyrano de Bergerac
1951,38,Vivien Leigh,A Streetcar Named Desire
1952,52,Humphrey Bogart,The African Queen
1952,54,Shirley Booth,Come Back
1953,51,Gary Cooper,High Noon
1953,24,Audrey Hepburn,Roman Holiday
1954,35,William Holden,Stalag 17
1954,25,Grace Kelly,The Country Girl
1955,30,Marlon Brando,On the Waterfront
1955,48,Anna Magnani,The Rose Tattoo
1956,39,Ernest Borgnine,Marty
1956,41,Ingrid Bergman,Anastasia
1957,36,Yul Brynner,The King and I
1957,28,Joanne Woodward,The Three Faces of Eve
1958,43,Alec Guinness,The Bridge on the River Kwai
1958,41,Susan Hayward,I Want to Live!
1959,49,David Niven,Separate Tables
1959,39,Simone Signoret,Room at the Top
1960,36,Charlton Heston,Ben-Hur
1960,29,Elizabeth Taylor,BUtterfield 8
1961,47,Burt Lancaster,Elmer Gantry
1961,27,Sophia Loren,Two Women
1962,31,Maximilian Schell,"Judgment at Nuremberg	"
1962,31,Anne Bancroft,The Miracle Worker
1963,47,Gregory Peck,To Kill a Mockingbird
1963,31,Patricia Neal,Hud
1964,37,Sidney Poitier,Lilies of the Field
1964,29,Julie Andrews,Mary Poppins
1965,57,Rex Harrison,My Fair Lady
1965,25,Julie Christie,Darling
1966,42,Lee Marvin,"Cat Ballou	"
1966,35,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1967,45,Paul Scofield,A Man for All Seasons
1967,60,Katharine Hepburn,Guess Who's Coming to Dinner
1968,42,Rod Steiger,"In the Heat of the Night	"
1968,61,Katharine Hepburn,The Lion in Winter
1969,45,Cliff Robertson,Charly
1969,26,Barbra Streisand,Funny Girl
1970,62,John Wayne,True Grit
1970,35,Maggie Smith,The Prime of Miss Jean Brodie
1971,43,George C. Scott,Patton
1971,34,Glenda Jackson,Women in Love
1972,42,Gene Hackman,The French Connection
1972,34,Jane Fonda,Klute
1973,48,Marlon Brando,The Godfather
1973,27,Liza Minnelli,Cabaret
1974,49,Jack Lemmon,Save the Tiger
1974,37,Glenda Jackson,A Touch of Class
1975,56,Art Carney,Harry and Tonto
1975,42,Ellen Burstyn,"Alice Doesn't Live Here Anymore	"
1976,38,Jack Nicholson,One Flew Over the Cuckoo's Nest
1976,41,Louise Fletcher,One Flew Over the Cuckoo's Nest
1977,60,Peter Finch,Network
1977,36,Faye Dunaway,Network
1978,30,Richard Dreyfuss,The Goodbye Girl
1978,32,Diane Keaton,Annie Hall
1979,40,Jon Voight,Coming Home
1979,41,Jane Fonda,Coming Home
1980,42,Dustin Hoffman,Kramer vs. Kramer
1980,33,Sally Field,Norma Rae
1981,37,Robert De Niro,Raging Bull
1981,31,Sissy Spacek,"Coal Miner's Daughter	"
1982,76,Henry Fonda,On Golden Pond
1982,74,Katharine Hepburn,On Golden Pond
1983,39,Ben Kingsley,Gandhi
1983,33,Meryl Streep,Sophie's Choice
1984,53,Robert Duvall,Tender Mercies
1984,49,Shirley MacLaine,"Terms of Endearment	"
1985,45,F. Murray Abraham,Amadeus
1985,38,Sally Field,Places in the Heart
1986,36,William Hurt,Kiss of the Spider Woman
1986,61,Geraldine Page,"The Trip to Bountiful	"
1987,62,Paul Newman,The Color of Money
1987,21,Marlee Matlin,Children of a Lesser God
1988,43,Michael Douglas,Wall Street
1988,41,Cher,Moonstruck
1989,51,Dustin Hoffman,Rain Man
1989,26,Jodie Foster,The Accused
1990,32,Daniel Day-Lewis,My Left Foot
1990,80,Jessica Tandy,Driving Miss Daisy
1991,42,Jeremy Irons,Reversal of Fortune
1991,42,Kathy Bates,Misery
1992,54,Anthony Hopkins,The Silence of the Lambs
1992,29,Jodie Foster,The Silence of the Lambs
1993,52,Al Pacino,Scent of a Woman
1993,33,Emma Thompson,Howards End
1994,37,Tom Hanks,Philadelphia
1994,36,Holly Hunter,The Piano
1995,38,Tom Hanks,Forrest Gump
1995,45,Jessica Lange,Blue Sky
1996,32,Nicolas Cage,Leaving Las Vegas
1996,49,Susan Sarandon,Dead Man Walking
1997,45,Geoffrey Rush,Shine
1997,39,Frances McDormand,Fargo
1998,60,Jack Nicholson,As Good as It Gets
1998,34,Helen Hunt,As Good as It Gets
1999,46,Roberto Benigni,Life Is Beautiful
1999,26,Gwyneth Paltrow,Shakespeare in Love
2000,40,Kevin Spacey,American Beauty
2000,25,Hilary Swank,Boys Don't Cry
2001,36,Russell Crowe,Gladiator
2001,33,Julia Roberts,Erin Brockovich
2002,47,Denzel Washington,"Training Day	"
2002,35,Halle Berry,Monster's Ball
2003,29,Adrien Brody,The Pianist
2003,35,Nicole Kidman,The Hours
2004,43,Sean Penn,Mystic River
2004,28,Charlize Theron,Monster
2005,37,Jamie Foxx,Ray
2005,30,Hilary Swank,Million Dollar Baby
2006,38,Philip Seymour Hoffman,Capote
2006,29,Reese Witherspoon,Walk the Line
2007,45,Forest Whitaker,"The Last King of Scotland	"
2007,61,Helen Mirren,The Queen
2008,50,Daniel Day-Lewis,There Will Be Blood
2008,32,Marion Cotillard,La Vie en rose
2009,48,Sean Penn,Milk
2009,33,Kate Winslet,The Reader
2010,60,Jeff Bridges,Crazy Heart
2010,45,Sandra Bullock,The Blind Side
2011,50,Colin Firth,"The King's Speech	"
2011,29,Natalie Portman,Black Swan
2012,39,Jean Dujardin,The Artist
2012,62,Meryl Streep,The Iron Lady
2013,55,Daniel Day-Lewis,Lincoln
2013,22,Jennifer Lawrence,Silver Linings Playbook
2014,44,Matthew McConaughey,Dallas Buyers Club
2014,44,Cate Blanchett,Blue Jasmine
2015,33,Eddie Redmayne,"The Theory of Everything	"
2015,54,Julianne Moore,Still Alice
2016,41,Leonardo DiCaprio,The Revenant
2016,26,Brie Larson,Room
